Date,Open,High,Low,Close,Volume
2011-03-11,4.8292,4.8752,4.8016,4.82, 92345700
2011-03-10,4.9696, 4.988,4.8132,4.85,157545400
2011-03-09,  4.98,5.0352,4.9616,4.98,111926300
2011-03-08,4.9876,5.0336,4.9324,4.96,133103800
2011-03-07,4.9624,5.0637,4.9532,4.99,208976200
2011-03-04, 4.874,4.9568,4.8464,4.92,179477200
2011-03-03,4.8056,4.9897,4.7964,4.87,472231400
2011-03-02,4.7157,4.8352,4.6973,4.78,227838800
2011-03-01,4.7124,4.7584,4.7032,4.74,122499700
2011-02-28,4.7184, 4.746,4.6908, 4.7,125750300
2011-02-24,4.6892,4.6892,4.6616,4.68, 83198200
2011-02-23,4.6808,4.7176,4.6808,4.69, 70649400
2011-02-22,4.7636,4.7636,4.6808,4.69,177871300
2011-02-21, 4.724,4.7792,4.6963,4.77,169426500
2011-02-18,4.7308,  4.74, 4.694,4.74,103702800
2011-02-17,4.7216,4.7768,4.7032,4.74,148771900
2011-02-16,4.7668, 4.776, 4.684,4.73,266123700
2011-02-15,4.7976, 4.816,4.7608,4.77,140554100
2011-02-14,4.6989,   4.8,4.6989, 4.8,244582500
2011-02-11,   4.7,4.7184,4.6724, 4.7, 85906700
2011-02-10,4.6272,4.7192,4.6272,4.71,104197600
2011-02-09,4.6484, 4.676,  4.63,4.63, 73062500
2011-02-01,4.6232,4.6784, 4.614,4.66, 68629500
2011-01-31,4.5932,4.6392, 4.584,4.63, 95487700
2011-01-28,4.5992,4.6176,4.5716,4.59, 67428800
2011-01-27, 4.564,4.6284,4.5456,4.61,119972800
2011-01-26,4.5716,4.5992,4.5624,4.59, 56128000
2011-01-25,4.5608,4.5976,4.5332,4.57,103288900
2011-01-24,4.5884, 4.616,4.5424,4.57,101817800
2011-01-21,4.5356,4.6644,4.5264, 4.6,114222000
2011-01-20,4.6043,4.6411,4.5216,4.54,111567200
2011-01-19,4.5916,4.6192,4.5732,4.61, 69066800
2011-01-18,4.5992,4.6176,4.5716,4.59, 89346800
2011-01-17,4.6744, 4.702,4.5916,4.61,132982000
2011-01-14,4.7268,4.7268,4.6808,4.69, 80480600
2011-01-13,4.7576, 4.776,4.7116,4.73, 89721000
2011-01-12,4.7308,4.7492,4.6848,4.74,215345000
2011-01-11, 4.664,4.7468,4.6548,4.71,169883900
2011-01-10,4.6792,4.7435,4.6608,4.67,304867100
2011-01-06,  4.63,4.6668,4.6208,4.63, 72985500
2011-01-05,4.6492, 4.686,4.6032,4.64,119924100
2011-01-04,4.6416,4.6784,4.5865,4.66,139162100
